Student Id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
159,male,group D,some college,standard,completed,58,59,58
160,female,group C,some high school,free/reduced,none,0,17,10
161,male,group E,bachelor's degree,free/reduced,completed,79,74,72
162,male,group A,some high school,free/reduced,none,39,39,34
163,male,group A,associate's degree,free/reduced,none,62,61,55
164,female,group C,associate's degree,standard,none,69,80,71
165,female,group D,some high school,standard,none,59,58,59
166,male,group B,some high school,standard,none,67,64,61
167,male,group D,some high school,free/reduced,none,45,37,37
168,female,group C,some college,standard,none,60,72,74
169,male,group B,associate's degree,free/reduced,none,61,58,56
170,female,group C,associate's degree,standard,none,39,64,57
171,female,group D,some college,free/reduced,completed,58,63,73
172,male,group D,some college,standard,completed,63,55,63
173,female,group A,associate's degree,free/reduced,none,41,51,48
174,male,group C,some high school,free/reduced,none,61,57,56
175,male,group C,some high school,standard,none,49,49,41
176,male,group B,associate's degree,free/reduced,none,44,41,38
177,male,group E,some high school,standard,none,30,26,22
178,male,group A,bachelor's degree,standard,completed,80,78,81
179,female,group D,some high school,standard,completed,61,74,72
180,female,group E,master's degree,standard,none,62,68,68
181,female,group B,associate's degree,standard,none,47,49,50
182,male,group B,high school,free/reduced,none,49,45,45
183,male,group A,some college,free/reduced,completed,50,47,54
184,male,group E,associate's degree,standard,none,72,64,63
185,male,group D,high school,free/reduced,none,42,39,34
186,female,group C,some college,standard,none,73,80,82
187,female,group C,some college,free/reduced,none,76,83,88
188,female,group D,associate's degree,standard,none,71,71,74
189,female,group A,some college,standard,none,58,70,67
190,female,group D,some high school,standard,none,73,86,82
191,female,group C,bachelor's degree,standard,none,65,72,74
192,male,group C,high school,free/reduced,none,27,34,36
193,male,group C,high school,standard,none,71,79,71
194,male,group C,associate's degree,free/reduced,completed,43,45,50
195,female,group B,some college,standard,none,79,86,92
196,male,group C,associate's degree,free/reduced,completed,78,81,82
197,male,group B,some high school,standard,completed,65,66,62
198,female,group E,some college,standard,completed,63,72,70
199,female,group D,some college,free/reduced,none,58,67,62
200,female,group D,bachelor's degree,standard,none,65,67,62
201,male,group B,some college,standard,none,79,67,67
202,male,group D,bachelor's degree,standard,completed,68,74,74
203,female,group D,associate's degree,standard,none,85,91,89
204,male,group B,high school,standard,completed,60,44,47
205,male,group C,some college,standard,completed,98,86,90
206,female,group C,some college,standard,none,58,67,72
207,female,group D,master's degree,standard,none,87,100,100
208,male,group E,associate's degree,standard,completed,66,63,64
209,female,group B,associate's degree,free/reduced,none,52,76,70
210,female,group B,some high school,standard,none,70,64,72
211,female,group D,associate's degree,free/reduced,completed,77,89,98
212,male,group C,high school,standard,none,62,55,49
213,male,group A,associate's degree,standard,none,54,53,47
214,female,group D,some college,standard,none,51,58,54
215,female,group E,bachelor's degree,standard,completed,99,100,100
216,male,group C,high school,standard,none,84,77,74
217,female,group B,bachelor's degree,free/reduced,none,75,85,82
218,female,group D,bachelor's degree,standard,none,78,82,79
219,female,group D,some high school,standard,none,51,63,61
220,female,group C,some college,standard,none,55,69,65
221,female,group C,bachelor's degree,standard,completed,79,92,89
222,male,group B,associate's degree,standard,completed,91,89,92
223,female,group C,some college,standard,completed,88,93,93
224,male,group D,high school,free/reduced,none,63,57,56
225,male,group E,some college,standard,none,83,80,73
226,female,group B,high school,standard,none,87,95,86
227,male,group B,some high school,standard,none,72,68,67
228,male,group D,some college,standard,completed,65,77,74
229,male,group D,master's degree,standard,none,82,82,74
230,female,group A,bachelor's degree,standard,none,51,49,51
231,male,group D,master's degree,standard,none,89,84,82
232,male,group C,some high school,free/reduced,completed,53,37,40
233,male,group E,some college,free/reduced,completed,87,74,70
234,female,group C,some college,standard,completed,75,81,84
235,male,group D,bachelor's degree,free/reduced,completed,74,79,75
236,male,group C,bachelor's degree,standard,none,58,55,48
237,male,group B,some high school,standard,completed,51,54,41
238,male,group E,high school,standard,none,70,55,56
239,female,group C,associate's degree,standard,none,59,66,67
240,male,group D,some college,standard,completed,71,61,69
241,female,group D,some high school,standard,none,76,72,71
242,female,group C,some college,free/reduced,none,59,62,64
243,female,group E,some college,free/reduced,completed,42,55,54
244,male,group A,high school,standard,none,57,43,47
245,male,group D,some college,standard,none,88,73,78
246,female,group C,some college,free/reduced,none,22,39,33
247,male,group B,some high school,standard,none,88,84,75
248,male,group C,associate's degree,free/reduced,none,73,68,66
249,female,group D,bachelor's degree,standard,completed,68,75,81
250,male,group E,associate's degree,free/reduced,completed,100,100,93
251,male,group A,some high school,standard,completed,62,67,69
252,male,group A,bachelor's degree,standard,none,77,67,68
253,female,group B,associate's degree,standard,completed,59,70,66
254,male,group D,bachelor's degree,standard,none,54,49,47
255,male,group D,some high school,standard,none,62,67,61
256,female,group C,some college,standard,completed,70,89,88
257,female,group E,high school,free/reduced,completed,66,74,78
258,male,group B,some college,free/reduced,none,60,60,60
259,female,group B,associate's degree,standard,completed,61,86,87
260,male,group D,associate's degree,free/reduced,none,66,62,64
261,male,group B,associate's degree,free/reduced,completed,82,78,74
262,female,group E,some college,free/reduced,completed,75,88,85
263,male,group B,master's degree,free/reduced,none,49,53,52
264,male,group C,high school,standard,none,52,53,49
265,female,group E,master's degree,standard,none,81,92,91
266,female,group C,bachelor's degree,standard,completed,96,100,100
267,male,group C,high school,free/reduced,completed,53,51,51
268,female,group B,master's degree,free/reduced,completed,58,76,78
269,female,group B,high school,standard,completed,68,83,78
270,female,group C,some college,free/reduced,completed,67,75,70
271,male,group A,high school,standard,completed,72,73,74
272,male,group E,some high school,standard,none,94,88,78
273,female,group D,some college,standard,none,79,86,81
274,female,group C,associate's degree,standard,none,63,67,70
275,female,group C,bachelor's degree,free/reduced,completed,43,51,54
276,female,group C,master's degree,standard,completed,81,91,87
277,female,group B,high school,free/reduced,completed,46,54,58
278,female,group C,associate's degree,standard,completed,71,77,77
279,female,group B,master's degree,free/reduced,completed,52,70,62
280,female,group D,some high school,standard,completed,97,100,100
281,male,group C,master's degree,free/reduced,completed,62,68,75
282,female,group C,some college,free/reduced,none,46,64,66
283,female,group E,high school,standard,none,50,50,47
284,female,group D,associate's degree,standard,none,65,69,70
285,male,group C,some high school,free/reduced,completed,45,52,49
286,male,group C,associate's degree,free/reduced,completed,65,67,65
287,male,group E,high school,standard,none,80,76,65
288,male,group D,some high school,standard,completed,62,66,68
289,male,group B,some high school,free/reduced,none,48,52,45
290,female,group C,bachelor's degree,standard,none,77,88,87
291,female,group E,associate's degree,standard,none,66,65,69
292,male,group D,some college,standard,completed,76,83,79
293,female,group B,some high school,standard,none,62,64,66
294,male,group D,some college,standard,completed,77,62,62
295,female,group C,master's degree,standard,completed,69,84,85
296,male,group D,associate's degree,standard,none,61,55,52
297,male,group C,some high school,free/reduced,completed,59,69,65
298,male,group E,high school,free/reduced,none,55,56,51
299,female,group B,some college,free/reduced,none,45,53,55
300,female,group B,bachelor's degree,free/reduced,none,78,79,76
301,female,group C,associate's degree,standard,completed,67,84,86
302,female,group D,some college,free/reduced,none,65,81,77
303,male,group C,associate's degree,standard,none,69,77,69
304,female,group B,associate's degree,standard,none,57,69,68
305,male,group C,some college,standard,none,59,41,42
306,male,group D,some high school,standard,completed,74,71,78
307,male,group E,bachelor's degree,standard,none,82,62,62
308,male,group E,high school,standard,completed,81,80,76
309,female,group B,some college,free/reduced,none,74,81,76
310,female,group B,some college,free/reduced,none,58,61,66
311,male,group D,some high school,free/reduced,completed,80,79,79
312,male,group C,some college,free/reduced,none,35,28,27
313,female,group C,high school,free/reduced,none,42,62,60
314,male,group C,associate's degree,free/reduced,completed,60,51,56
315,male,group E,high school,standard,completed,87,91,81
316,male,group B,some high school,standard,completed,84,83,75
317,female,group E,associate's degree,free/reduced,completed,83,86,88
318,female,group C,high school,free/reduced,none,34,42,39
319,male,group B,high school,free/reduced,none,66,77,70
320,male,group B,some high school,standard,completed,61,56,56
321,female,group D,high school,standard,completed,56,68,74
322,male,group B,associate's degree,standard,none,87,85,73
323,female,group C,some high school,free/reduced,none,55,65,62
324,male,group D,some high school,standard,none,86,80,75
325,female,group B,associate's degree,standard,completed,52,66,73
326,female,group E,master's degree,free/reduced,none,45,56,54
327,female,group C,some college,standard,none,72,72,71
328,male,group D,high school,standard,none,57,50,54
329,male,group A,some high school,free/reduced,none,68,72,64
330,female,group C,some college,standard,completed,88,95,94
331,male,group D,some college,standard,none,76,64,66
332,male,group C,associate's degree,standard,none,46,43,42
333,female,group B,bachelor's degree,standard,none,67,86,83
334,male,group E,some high school,standard,none,92,87,78
335,male,group C,bachelor's degree,standard,completed,83,82,84
336,male,group D,associate's degree,standard,none,80,75,77
337,male,group D,bachelor's degree,free/reduced,none,63,66,67
338,female,group D,some high school,standard,completed,64,60,74
339,male,group B,some college,standard,none,54,52,51
340,male,group C,associate's degree,standard,none,84,80,80
341,male,group D,high school,free/reduced,completed,73,68,66
342,female,group E,bachelor's degree,standard,none,80,83,83
343,female,group D,high school,standard,none,56,52,55
344,male,group E,some college,standard,none,59,51,43
345,male,group D,some high school,standard,none,75,74,69
346,male,group C,associate's degree,standard,none,85,76,71
347,male,group E,associate's degree,standard,none,89,76,74
348,female,group B,high school,standard,completed,58,70,68
349,female,group B,high school,standard,none,65,64,62
350,male,group C,high school,standard,none,68,60,53
351,male,group A,some high school,standard,completed,47,49,49
352,female,group D,some college,free/reduced,none,71,83,83
353,female,group B,some high school,standard,completed,60,70,70
354,male,group D,master's degree,standard,none,80,80,72
355,male,group D,high school,standard,none,54,52,52
356,female,group E,some college,standard,none,62,73,70
357,female,group C,associate's degree,free/reduced,none,64,73,68
358,male,group C,associate's degree,standard,completed,78,77,77
359,female,group B,some college,standard,none,70,75,78
360,female,group C,master's degree,free/reduced,completed,65,81,81
361,female,group C,some high school,free/reduced,completed,64,79,77
362,male,group C,some college,standard,completed,79,79,78
363,female,group C,some high school,free/reduced,none,44,50,51
364,female,group E,high school,standard,none,99,93,90
365,male,group D,high school,standard,none,76,73,68
366,male,group D,some high school,free/reduced,none,59,42,41
367,female,group C,bachelor's degree,standard,none,63,75,81
368,female,group D,high school,standard,none,69,72,77
369,female,group D,associate's degree,standard,completed,88,92,95
370,female,group E,some college,free/reduced,none,71,76,70
371,male,group C,bachelor's degree,standard,none,69,63,61
372,male,group C,some college,standard,none,58,49,42
373,female,group D,associate's degree,free/reduced,none,47,53,58
374,female,group D,some college,standard,none,65,70,71
375,male,group B,some college,standard,completed,88,85,76
376,male,group C,bachelor's degree,standard,none,83,78,73
377,female,group C,some high school,standard,completed,85,92,93
378,female,group E,high school,standard,completed,59,63,75
379,female,group C,some high school,free/reduced,none,65,86,80
380,male,group B,bachelor's degree,free/reduced,none,73,56,57
381,male,group D,high school,standard,none,53,52,42
382,male,group D,high school,standard,none,45,48,46
383,female,group D,bachelor's degree,free/reduced,none,73,79,84
384,female,group D,some college,free/reduced,completed,70,78,78
385,female,group B,some high school,standard,none,37,46,46
386,male,group B,associate's degree,standard,completed,81,82,82
387,male,group E,associate's degree,standard,completed,97,82,88
388,female,group B,some high school,standard,none,67,89,82
389,male,group B,bachelor's degree,free/reduced,none,88,75,76
390,male,group E,some high school,standard,completed,77,76,77
391,male,group C,associate's degree,standard,none,76,70,68
392,male,group D,some high school,standard,none,86,73,70
393,male,group C,some high school,standard,completed,63,60,57
394,female,group E,bachelor's degree,standard,none,65,73,75
395,male,group D,high school,free/reduced,completed,78,77,80
396,male,group B,associate's degree,free/reduced,none,67,62,60
397,male,group A,some high school,standard,completed,46,41,43
398,male,group E,associate's degree,standard,completed,71,74,68
399,male,group C,high school,free/reduced,completed,40,46,50
400,male,group D,associate's degree,free/reduced,none,90,87,75
401,male,group A,some college,free/reduced,completed,81,78,81
402,male,group D,some high school,free/reduced,none,56,54,52
403,female,group C,associate's degree,standard,completed,67,84,81
404,male,group B,associate's degree,standard,none,80,76,64
405,female,group C,associate's degree,standard,completed,74,75,83
406,male,group A,some college,standard,none,69,67,69
407,male,group E,some college,standard,completed,99,87,81
408,male,group C,some high school,standard,none,51,52,44
409,female,group B,associate's degree,free/reduced,none,53,71,67
410,female,group D,high school,free/reduced,none,49,57,52
411,female,group B,associate's degree,standard,none,73,76,80
412,male,group B,bachelor's degree,standard,none,66,60,57
413,male,group D,bachelor's degree,standard,completed,67,61,68
414,female,group C,associate's degree,free/reduced,completed,68,67,69
415,female,group C,bachelor's degree,standard,completed,59,64,75
416,male,group C,high school,standard,none,71,66,65
417,female,group D,master's degree,standard,completed,77,82,91
418,male,group C,associate's degree,standard,none,83,72,78
419,male,group B,bachelor's degree,standard,none,63,71,69
420,female,group D,associate's degree,free/reduced,none,56,65,63
421,female,group C,high school,free/reduced,completed,67,79,84
422,female,group E,high school,standard,none,75,86,79
423,female,group C,some college,standard,none,71,81,80
424,female,group C,some high school,free/reduced,none,43,53,53
425,female,group C,high school,free/reduced,none,41,46,43
426,female,group C,some college,standard,none,82,90,94
427,male,group C,some college,standard,none,61,61,62
428,male,group A,some college,free/reduced,none,28,23,19
429,male,group C,associate's degree,standard,completed,82,75,77
430,female,group B,some high school,standard,none,41,55,51
431,male,group C,high school,standard,none,71,60,61
432,male,group C,associate's degree,standard,none,47,37,35
433,male,group E,associate's degree,standard,completed,62,56,53
434,male,group B,associate's degree,standard,none,90,78,81
435,female,group C,bachelor's degree,standard,none,83,93,95
436,female,group B,some college,free/reduced,none,61,68,66
437,male,group D,some high school,standard,completed,76,70,69
438,male,group C,associate's degree,standard,none,49,51,43
439,female,group B,some high school,free/reduced,none,24,38,27
440,female,group D,some high school,free/reduced,completed,35,55,60
441,male,group C,high school,free/reduced,none,58,61,52
442,female,group C,high school,standard,none,61,73,63
443,female,group B,high school,standard,completed,69,76,74
444,male,group D,associate's degree,standard,completed,67,72,67
445,male,group D,some college,standard,none,79,73,67
446,female,group C,high school,standard,none,72,80,75
447,male,group B,some college,standard,none,62,61,57
448,female,group C,bachelor's degree,standard,completed,77,94,95
449,male,group D,high school,free/reduced,none,75,74,66
450,male,group E,associate's degree,standard,none,87,74,76
451,female,group B,bachelor's degree,standard,none,52,65,69
452,male,group E,some college,standard,none,66,57,52
453,female,group C,some college,standard,completed,63,78,80
454,female,group C,associate's degree,standard,none,46,58,57
455,female,group C,some college,standard,none,59,71,70
456,female,group B,bachelor's degree,standard,none,61,72,70
457,male,group A,associate's degree,standard,none,63,61,61
458,female,group C,some college,free/reduced,completed,42,66,69
459,male,group D,some college,free/reduced,none,59,62,61
460,female,group D,some college,standard,none,80,90,89
461,female,group B,high school,standard,none,58,62,59
462,male,group B,some high school,standard,completed,85,84,78
463,female,group C,some college,standard,none,52,58,58
464,female,group D,some high school,free/reduced,none,27,34,32
465,male,group C,some college,standard,none,59,60,58
466,male,group A,bachelor's degree,free/reduced,completed,49,58,60
467,male,group C,high school,standard,completed,69,58,53
468,male,group C,bachelor's degree,free/reduced,none,61,66,61
469,female,group A,some high school,free/reduced,none,44,64,58
470,female,group D,some high school,standard,none,73,84,85
471,male,group E,some college,standard,none,84,77,71
472,female,group C,some college,free/reduced,completed,45,73,70
473,male,group D,some high school,standard,none,74,74,72
474,female,group D,some college,standard,completed,82,97,96
475,female,group D,bachelor's degree,standard,none,59,70,73
476,male,group E,associate's degree,free/reduced,none,46,43,41
477,female,group D,some high school,standard,none,80,90,82
478,female,group D,master's degree,free/reduced,completed,85,95,100
479,female,group A,some high school,standard,none,71,83,77
480,male,group A,bachelor's degree,standard,none,66,64,62
481,female,group B,associate's degree,standard,none,80,86,83
482,male,group C,associate's degree,standard,completed,87,100,95
483,male,group C,master's degree,free/reduced,none,79,81,71
484,female,group E,some high school,free/reduced,none,38,49,45
485,female,group A,some high school,free/reduced,none,38,43,43
486,female,group E,some college,standard,none,67,76,75
487,female,group E,bachelor's degree,standard,none,64,73,70
488,female,group C,associate's degree,free/reduced,none,57,78,67
489,female,group D,high school,standard,none,62,64,64
490,male,group D,master's degree,standard,none,73,70,75
491,male,group E,some high school,free/reduced,completed,73,67,59
492,female,group D,some college,standard,none,77,68,77
493,male,group E,some college,standard,none,76,67,67
494,male,group C,associate's degree,standard,completed,57,54,56
495,female,group C,some high school,standard,completed,65,74,77
496,male,group A,high school,free/reduced,none,48,45,41
497,female,group B,high school,free/reduced,none,50,67,63
498,female,group C,associate's degree,standard,none,85,89,95
499,male,group B,some high school,standard,none,74,63,57
500,male,group D,some high school,standard,none,60,59,54
501,female,group C,some high school,standard,completed,59,54,67
502,male,group A,some college,standard,none,53,43,43
503,female,group A,some college,free/reduced,none,49,65,55
504,female,group D,high school,standard,completed,88,99,100
505,female,group C,high school,standard,none,54,59,62
506,female,group C,some high school,standard,none,63,73,68
507,male,group B,associate's degree,standard,completed,65,65,63
508,female,group B,associate's degree,standard,none,82,80,77
509,female,group D,high school,free/reduced,completed,52,57,56
510,male,group D,associate's degree,standard,completed,87,84,85
511,female,group D,master's degree,standard,completed,70,71,74
512,male,group E,some college,standard,completed,84,83,78
513,male,group D,associate's degree,standard,none,71,66,60
514,male,group B,some high school,standard,completed,63,67,67
515,female,group C,bachelor's degree,free/reduced,completed,51,72,79
516,male,group E,high school,standard,none,84,73,69
517,male,group C,bachelor's degree,standard,completed,71,74,68
518,male,group C,associate's degree,standard,none,74,73,67
519,male,group D,some college,standard,none,68,59,62
520,male,group E,high school,free/reduced,completed,57,56,54
521,female,group C,associate's degree,free/reduced,completed,82,93,93
522,female,group D,high school,standard,completed,57,58,64
523,female,group D,master's degree,free/reduced,completed,47,58,67
524,female,group A,some high school,standard,completed,59,85,80
525,male,group B,some college,free/reduced,none,41,39,34
526,female,group C,some college,free/reduced,none,62,67,62
527,male,group C,bachelor's degree,standard,none,86,83,86
528,male,group C,some high school,free/reduced,none,69,71,65
529,male,group A,some high school,free/reduced,none,65,59,53
530,male,group C,some high school,free/reduced,none,68,63,54
531,male,group C,associate's degree,free/reduced,none,64,66,59
532,female,group C,high school,standard,none,61,72,70
533,male,group C,high school,standard,none,61,56,55
534,female,group A,some high school,free/reduced,none,47,59,50
535,male,group C,some high school,standard,none,73,66,66
536,male,group C,some college,free/reduced,completed,50,48,53
537,male,group D,associate's degree,standard,none,75,68,64
538,male,group D,associate's degree,free/reduced,none,75,66,73
539,male,group C,high school,standard,none,70,56,51
540,male,group D,some high school,standard,completed,89,88,82
541,female,group C,some college,standard,completed,67,81,79
542,female,group D,high school,standard,none,78,81,80
543,female,group A,some high school,free/reduced,none,59,73,69
544,female,group B,associate's degree,standard,none,73,83,76
545,male,group A,some high school,free/reduced,none,79,82,73
546,female,group C,some high school,standard,completed,67,74,77
547,male,group D,some college,free/reduced,none,69,66,60
548,male,group C,high school,standard,completed,86,81,80
549,male,group B,high school,standard,none,47,46,42
550,male,group B,associate's degree,standard,none,81,73,72
551,female,group C,some college,free/reduced,completed,64,85,85
552,female,group E,some college,standard,none,100,92,97
553,female,group C,associate's degree,free/reduced,none,65,77,74
554,male,group C,some college,free/reduced,none,65,58,49
555,female,group C,associate's degree,free/reduced,none,53,61,62
556,male,group C,bachelor's degree,free/reduced,none,37,56,47
557,female,group D,bachelor's degree,standard,none,79,89,89
558,male,group D,associate's degree,free/reduced,none,53,54,48
559,female,group E,bachelor's degree,standard,none,100,100,100
560,male,group B,high school,standard,completed,72,65,68
561,male,group C,bachelor's degree,free/reduced,none,53,58,55
562,male,group B,some college,free/reduced,none,54,54,45
563,female,group E,some college,standard,none,71,70,76
564,female,group C,some college,free/reduced,none,77,90,91
565,male,group A,bachelor's degree,standard,completed,75,58,62
566,female,group C,some college,standard,none,84,87,91
567,female,group D,associate's degree,free/reduced,none,26,31,38
568,male,group A,high school,free/reduced,completed,72,67,65
569,female,group A,high school,free/reduced,completed,77,88,85
570,male,group C,some college,standard,none,91,74,76
571,female,group C,associate's degree,standard,completed,83,85,90
572,female,group C,high school,standard,none,63,69,74
573,female,group C,associate's degree,standard,completed,68,86,84
574,female,group D,some high school,standard,none,59,67,61
575,female,group B,associate's degree,standard,completed,90,90,91
576,female,group D,bachelor's degree,standard,completed,71,76,83
577,male,group E,bachelor's degree,standard,completed,76,62,66
578,male,group D,associate's degree,standard,none,80,68,72
579,female,group D,master's degree,standard,none,55,64,70
580,male,group E,associate's degree,standard,none,76,71,67
581,male,group B,high school,standard,completed,73,71,68
582,female,group D,associate's degree,free/reduced,none,52,59,56
583,male,group C,some college,free/reduced,none,68,68,61
584,male,group A,high school,standard,none,59,52,46
585,female,group B,associate's degree,standard,none,49,52,54
586,male,group C,high school,standard,none,70,74,71
587,male,group D,some college,free/reduced,none,61,47,56
588,female,group C,associate's degree,free/reduced,none,60,75,74
589,male,group B,some high school,standard,completed,64,53,57
590,male,group A,associate's degree,free/reduced,completed,79,82,82
591,female,group A,associate's degree,free/reduced,none,65,85,76
592,female,group C,associate's degree,standard,none,64,64,70
593,female,group C,some college,standard,none,83,83,90
594,female,group C,bachelor's degree,standard,none,81,88,90
595,female,group B,high school,standard,none,54,64,68
596,male,group D,high school,standard,completed,68,64,66
597,female,group C,some college,standard,none,54,48,52
598,female,group D,some college,free/reduced,completed,59,78,76
599,female,group B,some high school,standard,none,66,69,68
600,male,group E,some college,standard,none,76,71,72
601,female,group D,master's degree,standard,none,74,79,82
602,female,group B,associate's degree,standard,completed,94,87,92
603,male,group C,some college,free/reduced,none,63,61,54
604,female,group E,associate's degree,standard,completed,95,89,92
605,female,group D,master's degree,free/reduced,none,40,59,54
606,female,group B,some high school,standard,none,82,82,80
607,male,group A,high school,standard,none,68,70,66
608,male,group B,bachelor's degree,free/reduced,none,55,59,54
609,male,group C,master's degree,standard,none,79,78,77
610,female,group C,bachelor's degree,standard,none,86,92,87
611,male,group D,some college,standard,none,76,71,73
612,male,group A,some high school,standard,none,64,50,43
613,male,group D,some high school,free/reduced,none,62,49,52
614,female,group B,some high school,standard,completed,54,61,62
615,female,group B,master's degree,free/reduced,completed,77,97,94
616,female,group C,some high school,standard,completed,76,87,85
617,female,group D,some college,standard,none,74,89,84
618,female,group E,some college,standard,completed,66,74,73
619,female,group D,some high school,standard,completed,66,78,78
620,female,group B,high school,free/reduced,completed,67,78,79
621,male,group D,some college,standard,none,71,49,52
622,female,group C,associate's degree,standard,none,91,86,84
623,male,group D,bachelor's degree,standard,none,69,58,57
624,male,group C,master's degree,free/reduced,none,54,59,50
625,male,group C,high school,standard,completed,53,52,49
626,male,group E,some college,standard,none,68,60,59
627,male,group C,some high school,free/reduced,completed,56,61,60
628,female,group C,high school,free/reduced,none,36,53,43
629,female,group D,bachelor's degree,free/reduced,none,29,41,47
630,female,group C,associate's degree,standard,none,62,74,70
631,female,group C,associate's degree,standard,completed,68,67,73
632,female,group C,some high school,standard,none,47,54,53
633,male,group E,associate's degree,standard,completed,62,61,58
634,female,group E,associate's degree,standard,completed,79,88,94
635,male,group B,high school,standard,completed,73,69,68
636,female,group C,bachelor's degree,free/reduced,completed,66,83,83
637,male,group C,associate's degree,standard,completed,51,60,58
638,female,group D,high school,standard,none,51,66,62
639,male,group E,bachelor's degree,standard,completed,85,66,71
640,male,group A,associate's degree,standard,completed,97,92,86
641,male,group C,high school,standard,completed,75,69,68
642,male,group D,associate's degree,free/reduced,completed,79,82,80
643,female,group C,associate's degree,standard,none,81,77,79
644,female,group D,associate's degree,standard,none,82,95,89
645,female,group D,master's degree,standard,none,64,63,66
646,male,group E,some high school,free/reduced,completed,78,83,80
647,female,group A,some high school,standard,completed,92,100,97
648,male,group C,high school,standard,completed,72,67,64
649,female,group C,high school,free/reduced,none,62,67,64
650,male,group C,master's degree,standard,none,79,72,69
651,male,group C,some high school,free/reduced,none,79,76,65
652,male,group B,bachelor's degree,free/reduced,completed,87,90,88
653,female,group B,associate's degree,standard,none,40,48,50
654,male,group D,some college,free/reduced,none,77,62,64
655,male,group E,associate's degree,standard,none,53,45,40
656,female,group C,some college,free/reduced,none,32,39,33
657,female,group C,associate's degree,standard,completed,55,72,79
658,male,group C,master's degree,free/reduced,none,61,67,66
659,female,group B,associate's degree,free/reduced,none,53,70,70
660,male,group D,some high school,standard,none,73,66,62
661,female,group D,some college,standard,completed,74,75,79
662,female,group C,some college,standard,none,63,74,74
663,male,group C,bachelor's degree,standard,completed,96,90,92
664,female,group D,some college,free/reduced,completed,63,80,80
665,male,group B,bachelor's degree,free/reduced,none,48,51,46
666,male,group B,associate's degree,standard,none,48,43,45
667,female,group E,bachelor's degree,free/reduced,completed,92,100,100
668,female,group D,master's degree,free/reduced,completed,61,71,78
669,male,group B,high school,free/reduced,none,63,48,47
670,male,group D,bachelor's degree,free/reduced,none,68,68,67
671,male,group B,some college,standard,completed,71,75,70
672,male,group A,bachelor's degree,standard,none,91,96,92
673,female,group C,some college,standard,none,53,62,56
674,female,group C,high school,free/reduced,completed,50,66,64
675,female,group E,high school,standard,none,74,81,71
676,male,group A,associate's degree,free/reduced,completed,40,55,53
677,male,group A,some college,standard,completed,61,51,52
678,female,group B,high school,standard,none,81,91,89
679,female,group B,some college,free/reduced,completed,48,56,58
